Postcode,Latitude,Longitude,Side,Closest_Any,Distance_Any_km,Closest_L1,Distance_L1_km,Closest_L2,Distance_L2_km,Closest_L3,Distance_L3_km
N2 0EN,51.579641,-0.180179,North,Royal Free Hospital,3.11,Royal Free Hospital,3.11,Whittington Hospital,3.12,UCH (University College),6.85
N2 0FA,51.574676,-0.174089,North,Royal Free Hospital,2.46,Royal Free Hospital,2.46,Whittington Hospital,2.51,UCH (University College),6.16
N2 0TT,51.572861,-0.173798,North,Royal Free Hospital,2.26,Royal Free Hospital,2.26,Whittington Hospital,2.42,UCH (University College),5.97
N2 0TU,51.572058,-0.174234,North,Royal Free Hospital,2.18,Royal Free Hospital,2.18,Whittington Hospital,2.43,UCH (University College),5.91
N3 1RR,51.596818,-0.203576,North,Royal Free Hospital,5.52,Royal Free Hospital,5.52,Whittington Hospital,5.52,Queen Charlottes',9.16
N3 1SP,51.598446,-0.205981,North,Royal Free Hospital,5.76,Royal Free Hospital,5.76,Whittington Hospital,5.76,Queen Charlottes',9.3
N3 1SR,51.597693,-0.206718,North,Royal Free Hospital,5.71,Royal Free Hospital,5.71,Whittington Hospital,5.75,Queen Charlottes',9.2
N3 1SS,51.597255,-0.205497,North,Royal Free Hospital,5.63,Royal Free Hospital,5.63,Whittington Hospital,5.66,Queen Charlottes',9.17
N3 1ST,51.597518,-0.204718,North,Royal Free Hospital,5.63,Royal Free Hospital,5.63,Whittington Hospital,5.63,Queen Charlottes',9.22
N3 1TJ,51.598572,-0.20716,North,Royal Free Hospital,5.81,Royal Free Hospital,5.81,Barnet Hospital,5.82,Queen Charlottes',9.29
N3 3AA,51.59165,-0.200243,North,Royal Free Hospital,4.91,Royal Free Hospital,4.91,Whittington Hospital,5.0,Queen Charlottes',8.67
N3 3AB,51.594067,-0.201303,North,Royal Free Hospital,5.18,Royal Free Hospital,5.18,Whittington Hospital,5.21,Queen Charlottes',8.9
N3 3AD,51.594682,-0.203906,North,Royal Free Hospital,5.33,Royal Free Hospital,5.33,Whittington Hospital,5.4,Queen Charlottes',8.92
N3 3AE,51.594945,-0.203419,North,Royal Free Hospital,5.33,Royal Free Hospital,5.33,Whittington Hospital,5.39,Queen Charlottes',8.96
N3 3AG,51.595292,-0.20264,North,Royal Free Hospital,5.34,Royal Free Hospital,5.34,Whittington Hospital,5.37,Queen Charlottes',9.01
N3 3AH,51.59549,-0.202632,North,Royal Free Hospital,5.36,Royal Free Hospital,5.36,Whittington Hospital,5.38,Queen Charlottes',9.03
N3 3AJ,51.595327,-0.20196,North,Royal Free Hospital,5.32,Royal Free Hospital,5.32,Whittington Hospital,5.33,Queen Charlottes',9.03
N3 3AN,51.594417,-0.201245,North,Royal Free Hospital,5.21,Royal Free Hospital,5.21,Whittington Hospital,5.23,Queen Charlottes',8.94
N3 3AT,51.591799,-0.199172,North,Royal Free Hospital,4.89,Royal Free Hospital,4.89,Whittington Hospital,4.95,UCH (University College),8.66
N3 3AU,51.59161,-0.197083,North,Royal Free Hospital,4.8,Royal Free Hospital,4.8,Whittington Hospital,4.82,UCH (University College),8.57
N3 3AW,51.592335,-0.199797,North,Royal Free Hospital,4.96,Royal Free Hospital,4.96,Whittington Hospital,5.02,UCH (University College),8.74
N3 3AX,51.591158,-0.196913,North,Royal Free Hospital,4.75,Royal Free Hospital,4.75,Whittington Hospital,4.78,UCH (University College),8.52
N3 3AY,51.590349,-0.195733,North,Royal Free Hospital,4.63,Royal Free Hospital,4.63,Whittington Hospital,4.66,UCH (University College),8.4
N3 3DN,51.589818,-0.195512,North,Royal Free Hospital,4.57,Royal Free Hospital,4.57,Whittington Hospital,4.61,UCH (University College),8.35
N3 3DP,51.591819,-0.20308,North,Royal Free Hospital,5.02,Royal Free Hospital,5.02,Whittington Hospital,5.17,Queen Charlottes',8.63
N3 3DR,51.591625,-0.204517,North,Royal Free Hospital,5.06,Royal Free Hospital,5.06,Whittington Hospital,5.24,Queen Charlottes',8.58
N3 3DS,51.591252,-0.202468,North,Royal Free Hospital,4.95,Royal Free Hospital,4.95,Whittington Hospital,5.1,Queen Charlottes',8.58
N3 3DT,51.590895,-0.2012,North,Royal Free Hospital,4.87,Royal Free Hospital,4.87,Whittington Hospital,5.01,Queen Charlottes',8.57
N3 3DU,51.590446,-0.202066,North,Royal Free Hospital,4.86,Royal Free Hospital,4.86,Whittington Hospital,5.03,Queen Charlottes',8.5
N3 3DW,51.591392,-0.196947,North,Royal Free Hospital,4.77,Royal Free Hospital,4.77,Whittington Hospital,4.79,UCH (University College),8.55
N3 3DX,51.589684,-0.202789,North,Royal Free Hospital,4.81,Royal Free Hospital,4.81,Whittington Hospital,5.03,Queen Charlottes',8.41
N3 3DY,51.589745,-0.202671,North,Royal Free Hospital,4.81,Royal Free Hospital,4.81,Whittington Hospital,5.03,Queen Charlottes',8.42
N3 3EA,51.590341,-0.203442,North,Royal Free Hospital,4.9,Royal Free Hospital,4.9,Whittington Hospital,5.11,Queen Charlottes',8.47
N3 3EB,51.590226,-0.204731,North,Royal Free Hospital,4.93,Royal Free Hospital,4.93,Whittington Hospital,5.18,Queen Charlottes',8.43
N3 3ED,51.590205,-0.205501,North,Royal Free Hospital,4.96,Royal Free Hospital,4.96,Whittington Hospital,5.22,Queen Charlottes',8.41
N3 3EE,51.589216,-0.206301,North,Royal Free Hospital,4.9,Royal Free Hospital,4.9,Whittington Hospital,5.21,Queen Charlottes',8.29
N3 3EF,51.594575,-0.208631,North,Royal Free Hospital,5.49,Royal Free Hospital,5.49,Whittington Hospital,5.66,Queen Charlottes',8.84
N3 3EG,51.594923,-0.208502,North,Royal Free Hospital,5.51,Royal Free Hospital,5.51,Whittington Hospital,5.67,Queen Charlottes',8.88
N3 3EH,51.595173,-0.208362,North,Royal Free Hospital,5.53,Royal Free Hospital,5.53,Whittington Hospital,5.68,Queen Charlottes',8.9
N3 3EJ,51.595745,-0.206925,North,Royal Free Hospital,5.53,Royal Free Hospital,5.53,Whittington Hospital,5.64,Queen Charlottes',8.99
N3 3EL,51.595498,-0.207588,North,Royal Free Hospital,5.53,Royal Free Hospital,5.53,Whittington Hospital,5.66,Queen Charlottes',8.95
N3 3EN,51.594549,-0.209917,North,Royal Free Hospital,5.53,Royal Free Hospital,5.53,Whittington Hospital,5.73,Queen Charlottes',8.81
N3 3EP,51.59471,-0.208626,North,Royal Free Hospital,5.5,Royal Free Hospital,5.5,Whittington Hospital,5.67,Queen Charlottes',8.85
N3 3EQ,51.595278,-0.208748,North,Royal Free Hospital,5.56,Royal Free Hospital,5.56,Whittington Hospital,5.71,Queen Charlottes',8.91
N3 3ER,51.593175,-0.210379,North,Royal Free Hospital,5.42,Royal Free Hospital,5.42,Whittington Hospital,5.68,Queen Charlottes',8.66
N3 3ES,51.592928,-0.210905,North,Royal Free Hospital,5.42,Royal Free Hospital,5.42,Whittington Hospital,5.7,Queen Charlottes',8.62
N3 3ET,51.591613,-0.211375,North,Royal Free Hospital,5.32,Royal Free Hospital,5.32,Whittington Hospital,5.65,Queen Charlottes',8.47
N3 3EU,51.591619,-0.209747,North,Royal Free Hospital,5.26,Royal Free Hospital,5.26,Whittington Hospital,5.55,Queen Charlottes',8.5
N3 3EW,51.589967,-0.195275,North,Royal Free Hospital,4.58,Royal Free Hospital,4.58,Whittington Hospital,4.61,UCH (University College),8.35
N3 3EX,51.590734,-0.209764,North,Royal Free Hospital,5.18,Royal Free Hospital,5.18,Whittington Hospital,5.5,Queen Charlottes',8.4
N3 3EY,51.589638,-0.208623,North,Royal Free Hospital,5.03,Royal Free Hospital,5.03,Whittington Hospital,5.38,Queen Charlottes',8.3
N3 3EZ,51.589848,-0.195121,North,Royal Free Hospital,4.56,Royal Free Hospital,4.56,Whittington Hospital,4.59,UCH (University College),8.34
N3 3GR,51.591001,-0.210479,North,Royal Free Hospital,5.23,Royal Free Hospital,5.23,Whittington Hospital,5.56,Queen Charlottes',8.42
N3 3HA,51.590786,-0.207856,North,Royal Free Hospital,5.11,Royal Free Hospital,5.11,Whittington Hospital,5.39,Queen Charlottes',8.44
N3 3HB,51.592276,-0.208289,North,Royal Free Hospital,5.26,Royal Free Hospital,5.26,Whittington Hospital,5.5,Queen Charlottes',8.59
N3 3HD,51.592611,-0.207207,North,Royal Free Hospital,5.25,Royal Free Hospital,5.25,Whittington Hospital,5.46,Queen Charlottes',8.65
N3 3HE,51.595207,-0.205849,North,Royal Free Hospital,5.44,Royal Free Hospital,5.44,Whittington Hospital,5.54,Queen Charlottes',8.95
N3 3HG,51.596078,-0.208168,North,Royal Free Hospital,5.61,Royal Free Hospital,5.61,Whittington Hospital,5.73,Queen Charlottes',9.01
N3 3HY,51.592896,-0.198837,North,Royal Free Hospital,4.98,Royal Free Hospital,4.98,Whittington Hospital,5.0,UCH (University College),8.76
N3 3HZ,51.592335,-0.199797,North,Royal Free Hospital,4.96,Royal Free Hospital,4.96,Whittington Hospital,5.02,UCH (University College),8.74
N3 3JA,51.592664,-0.198326,North,Royal Free Hospital,4.94,Royal Free Hospital,4.94,Whittington Hospital,4.95,UCH (University College),8.72
N3 3JE,51.592403,-0.1989,North,Royal Free Hospital,4.94,Royal Free Hospital,4.94,Whittington Hospital,4.97,UCH (University College),8.71
N3 3JF,51.591437,-0.199833,North,Royal Free Hospital,4.87,Royal Free Hospital,4.87,Whittington Hospital,4.96,Queen Charlottes',8.65
N3 3JG,51.592272,-0.198951,North,Royal Free Hospital,4.92,Royal Free Hospital,4.92,Whittington Hospital,4.96,UCH (University College),8.7
N3 3JH,51.591086,-0.19924,North,Royal Free Hospital,4.82,Royal Free Hospital,4.82,Whittington Hospital,4.91,UCH (University College),8.6
N3 3JJ,51.590777,-0.197654,North,Royal Free Hospital,4.74,Royal Free Hospital,4.74,Whittington Hospital,4.8,UCH (University College),8.51
N3 3JL,51.590496,-0.198311,North,Royal Free Hospital,4.73,Royal Free Hospital,4.73,Whittington Hospital,4.82,UCH (University College),8.51
N3 3JN,51.590409,-0.199444,North,Royal Free Hospital,4.76,Royal Free Hospital,4.76,Whittington Hospital,4.88,UCH (University College),8.54
N3 3JP,51.589972,-0.198144,North,Royal Free Hospital,4.67,Royal Free Hospital,4.67,Whittington Hospital,4.77,UCH (University College),8.45
N3 3JR,51.589573,-0.195576,North,Royal Free Hospital,4.55,Royal Free Hospital,4.55,Whittington Hospital,4.6,UCH (University College),8.32
N3 3PB,51.593343,-0.199573,North,Royal Free Hospital,5.05,Royal Free Hospital,5.05,Whittington Hospital,5.07,UCH (University College),8.83
N3 3PD,51.593511,-0.201426,North,Royal Free Hospital,5.13,Royal Free Hospital,5.13,Whittington Hospital,5.18,Queen Charlottes',8.84
N3 3PE,51.594234,-0.204544,North,Royal Free Hospital,5.3,Royal Free Hospital,5.3,Whittington Hospital,5.41,Queen Charlottes',8.86
N3 3PG,51.593663,-0.204307,North,Royal Free Hospital,5.24,Royal Free Hospital,5.24,Whittington Hospital,5.36,Queen Charlottes',8.81
N3 3PH,51.593151,-0.20606,North,Royal Free Hospital,5.26,Royal Free Hospital,5.26,Whittington Hospital,5.42,Queen Charlottes',8.72
N3 3PJ,51.592331,-0.203031,North,Royal Free Hospital,5.07,Royal Free Hospital,5.07,Whittington Hospital,5.2,Queen Charlottes',8.69
N3 3PL,51.592529,-0.20577,North,Royal Free Hospital,5.19,Royal Free Hospital,5.19,Whittington Hospital,5.37,Queen Charlottes',8.66
N3 3PN,51.592455,-0.206419,North,Royal Free Hospital,5.2,Royal Free Hospital,5.2,Whittington Hospital,5.4,Queen Charlottes',8.64
N3 3PP,51.593332,-0.206532,North,Royal Free Hospital,5.29,Royal Free Hospital,5.29,Whittington Hospital,5.46,Queen Charlottes',8.73
N3 3PQ,51.59341,-0.205158,North,Royal Free Hospital,5.25,Royal Free Hospital,5.25,Whittington Hospital,5.39,Queen Charlottes',8.77
N3 3PR,51.592615,-0.208679,North,Royal Free Hospital,5.31,Royal Free Hospital,5.31,Whittington Hospital,5.55,Queen Charlottes',8.62
N3 3PS,51.593069,-0.208965,North,Royal Free Hospital,5.36,Royal Free Hospital,5.36,Whittington Hospital,5.59,Queen Charlottes',8.67
N3 3PT,51.59358,-0.209222,North,Royal Free Hospital,5.42,Royal Free Hospital,5.42,Whittington Hospital,5.63,Queen Charlottes',8.72
N3 3PU,51.593691,-0.212001,North,Royal Free Hospital,5.54,Royal Free Hospital,5.54,Whittington Hospital,5.8,Queen Charlottes',8.69
N3 3PX,51.594006,-0.209693,North,Royal Free Hospital,5.47,Royal Free Hospital,5.47,Whittington Hospital,5.69,Queen Charlottes',8.76
N3 3PY,51.593469,-0.20573,North,Royal Free Hospital,5.27,Royal Free Hospital,5.27,Whittington Hospital,5.43,Queen Charlottes',8.76
N3 3RH,51.593677,-0.208118,North,Royal Free Hospital,5.38,Royal Free Hospital,5.38,Whittington Hospital,5.58,Queen Charlottes',8.75
N3 3SE,51.596131,-0.202809,North,Royal Free Hospital,5.43,Royal Free Hospital,5.43,Whittington Hospital,5.43,Queen Charlottes',9.1
N3 3SF,51.595601,-0.204014,North,Royal Free Hospital,5.42,Royal Free Hospital,5.42,Whittington Hospital,5.46,Queen Charlottes',9.02
N3 3SG,51.59512,-0.205462,North,Royal Free Hospital,5.42,Royal Free Hospital,5.42,Whittington Hospital,5.51,Queen Charlottes',8.94
N3 3SH,51.594027,-0.206328,North,Royal Free Hospital,5.35,Royal Free Hospital,5.35,Whittington Hospital,5.49,Queen Charlottes',8.81
N3 3SJ,51.594724,-0.206376,North,Royal Free Hospital,5.42,Royal Free Hospital,5.42,Whittington Hospital,5.54,Queen Charlottes',8.89
N3 3SL,51.595949,-0.204769,North,Royal Free Hospital,5.48,Royal Free Hospital,5.48,Whittington Hospital,5.53,Queen Charlottes',9.05
N3 3SN,51.596383,-0.206686,North,Royal Free Hospital,5.59,Royal Free Hospital,5.59,Whittington Hospital,5.66,Queen Charlottes',9.06
N3 3SP,51.596181,-0.205207,North,Royal Free Hospital,5.51,Royal Free Hospital,5.51,Whittington Hospital,5.57,Queen Charlottes',9.06
N3 3SQ,51.595678,-0.205527,North,Royal Free Hospital,5.48,Royal Free Hospital,5.48,Whittington Hospital,5.55,Queen Charlottes',9.0
N3 3SR,51.596521,-0.207475,North,Royal Free Hospital,5.63,Royal Free Hospital,5.63,Whittington Hospital,5.72,Queen Charlottes',9.06
N3 3SS,51.596743,-0.206322,North,Royal Free Hospital,5.61,Royal Free Hospital,5.61,Whittington Hospital,5.67,Queen Charlottes',9.11
N3 3ST,51.59655,-0.20428,North,Royal Free Hospital,5.52,Royal Free Hospital,5.52,Whittington Hospital,5.54,Queen Charlottes',9.12
N3 3SU,51.59494,-0.206047,North,Royal Free Hospital,5.43,Royal Free Hospital,5.43,Whittington Hospital,5.54,Queen Charlottes',8.92
N3 3SW,51.596258,-0.203468,North,Royal Free Hospital,5.46,Royal Free Hospital,5.46,Whittington Hospital,5.48,Queen Charlottes',9.1
N3 3SX,51.594655,-0.20661,North,Royal Free Hospital,5.42,Royal Free Hospital,5.42,Whittington Hospital,5.55,Queen Charlottes',8.88
N3 3SZ,51.596203,-0.204525,North,Royal Free Hospital,5.49,Royal Free Hospital,5.49,Whittington Hospital,5.53,Queen Charlottes',9.08
N3 3TA,51.594789,-0.207717,North,Royal Free Hospital,5.47,Royal Free Hospital,5.47,Whittington Hospital,5.62,Queen Charlottes',8.87
N3 3TB,51.594265,-0.208384,North,Royal Free Hospital,5.45,Royal Free Hospital,5.45,Whittington Hospital,5.63,Queen Charlottes',8.81
N3 3TL,51.594177,-0.202612,North,Royal Free Hospital,5.23,Royal Free Hospital,5.23,Whittington Hospital,5.29,Queen Charlottes',8.89
N3 3TP,51.593818,-0.206784,North,Royal Free Hospital,5.35,Royal Free Hospital,5.35,Whittington Hospital,5.51,Queen Charlottes',8.78
N3 3TR,51.594864,-0.204956,North,Royal Free Hospital,5.38,Royal Free Hospital,5.38,Whittington Hospital,5.47,Queen Charlottes',8.93
N3 3TT,51.595076,-0.202577,North,Royal Free Hospital,5.32,Royal Free Hospital,5.32,Whittington Hospital,5.35,Queen Charlottes',8.99
N3 3ZL,51.594088,-0.199757,North,Royal Free Hospital,5.13,Royal Free Hospital,5.13,Whittington Hospital,5.13,UCH (University College),8.9
NW1 4RZ,51.536282,-0.158997,North,Royal Free Hospital,1.93,Royal Free Hospital,1.93,St Marys Hospital,2.35,UCH (University College),2.08
NW1 7BB,51.539462,-0.149597,North,Royal Free Hospital,1.88,Royal Free Hospital,1.88,St Marys Hospital,2.98,UCH (University College),1.91
NW1 7BF,51.540009,-0.148392,North,Royal Free Hospital,1.88,Royal Free Hospital,1.88,Whittington Hospital,3.0,UCH (University College),1.92
NW1 7BJ,51.540009,-0.148392,North,Royal Free Hospital,1.88,Royal Free Hospital,1.88,Whittington Hospital,3.0,UCH (University College),1.92
NW1 7BY,51.540183,-0.147448,North,Royal Free Hospital,1.91,Royal Free Hospital,1.91,Whittington Hospital,2.97,UCH (University College),1.91
NW1 7DE,51.540707,-0.147628,North,Royal Free Hospital,1.85,Royal Free Hospital,1.85,Whittington Hospital,2.91,UCH (University College),1.97
NW1 7DP,51.540183,-0.147448,North,Royal Free Hospital,1.91,Royal Free Hospital,1.91,Whittington Hospital,2.97,UCH (University College),1.91
NW1 7DQ,51.540436,-0.147538,North,Royal Free Hospital,1.88,Royal Free Hospital,1.88,Whittington Hospital,2.94,UCH (University College),1.94
NW1 7DT,51.540174,-0.147462,North,Royal Free Hospital,1.91,Royal Free Hospital,1.91,Whittington Hospital,2.97,UCH (University College),1.91
NW1 7DU,51.540436,-0.147538,North,Royal Free Hospital,1.88,Royal Free Hospital,1.88,Whittington Hospital,2.94,UCH (University College),1.94
NW1 7DX,51.540436,-0.147538,North,Royal Free Hospital,1.88,Royal Free Hospital,1.88,Whittington Hospital,2.94,UCH (University College),1.94
NW1 7DZ,51.541032,-0.14711,North,Royal Free Hospital,1.85,Royal Free Hospital,1.85,Whittington Hospital,2.87,UCH (University College),1.98
NW1 7ST,51.537602,-0.153724,North,Royal Free Hospital,1.91,Royal Free Hospital,1.91,St Marys Hospital,2.65,UCH (University College),1.92
NW1 7SU,51.537976,-0.154617,North,Royal Free Hospital,1.85,Royal Free Hospital,1.85,St Marys Hospital,2.65,UCH (University College),1.99
NW1 7SX,51.538528,-0.154249,North,Royal Free Hospital,1.8,Royal Free Hospital,1.8,St Marys Hospital,2.72,UCH (University College),2.02
NW1 7SY,51.538058,-0.153561,North,Royal Free Hospital,1.87,Royal Free Hospital,1.87,St Marys Hospital,2.7,UCH (University College),1.95
NW1 7SZ,51.537675,-0.15437,North,Royal Free Hospital,1.89,Royal Free Hospital,1.89,St Marys Hospital,2.63,UCH (University College),1.95
NW1 7TA,51.53792,-0.153942,North,Royal Free Hospital,1.87,Royal Free Hospital,1.87,St Marys Hospital,2.67,UCH (University College),1.95
NW1 7TP,51.537915,-0.153034,North,Royal Free Hospital,1.9,Royal Free Hospital,1.9,St Marys Hospital,2.71,UCH (University College),1.91
NW1 7TS,51.538851,-0.150804,North,Royal Free Hospital,1.89,Royal Free Hospital,1.89,St Marys Hospital,2.88,UCH (University College),1.9
NW1 7TT,51.539319,-0.150223,North,Royal Free Hospital,1.87,Royal Free Hospital,1.87,St Marys Hospital,2.94,UCH (University College),1.92
NW1 8AA,51.541644,-0.145257,North,Royal Free Hospital,1.9,Royal Free Hospital,1.9,Whittington Hospital,2.79,UCH (University College),2.0
NW1 8AB,51.54155,-0.145719,North,Royal Free Hospital,1.88,Royal Free Hospital,1.88,Whittington Hospital,2.8,UCH (University College),2.0
NW1 8AD,51.543343,-0.153939,North,Royal Free Hospital,1.35,Royal Free Hospital,1.35,Whittington Hospital,2.74,UCH (University College),2.44
NW1 8AE,51.543343,-0.153939,North,Royal Free Hospital,1.35,Royal Free Hospital,1.35,Whittington Hospital,2.74,UCH (University College),2.44
NW1 8AF,51.54109,-0.146635,North,Royal Free Hospital,1.87,Royal Free Hospital,1.87,Whittington Hospital,2.86,UCH (University College),1.98
NW1 8AG,51.542241,-0.146254,North,Royal Free Hospital,1.8,Royal Free Hospital,1.8,Whittington Hospital,2.73,UCH (University College),2.08
NW1 8AH,51.542337,-0.147764,North,Royal Free Hospital,1.72,Royal Free Hospital,1.72,Whittington Hospital,2.74,UCH (University College),2.13
NW1 8AJ,51.542921,-0.148274,North,Royal Free Hospital,1.65,Royal Free Hospital,1.65,Whittington Hospital,2.68,UCH (University College),2.21
NW1 8AL,51.541498,-0.145866,North,Royal Free Hospital,1.88,Royal Free Hospital,1.88,Whittington Hospital,2.81,UCH (University College),2.0
NW1 8AN,51.543337,-0.149991,North,Royal Free Hospital,1.53,Royal Free Hospital,1.53,Whittington Hospital,2.66,UCH (University College),2.3
NW1 8AP,51.543576,-0.151074,North,Royal Free Hospital,1.46,Royal Free Hospital,1.46,Whittington Hospital,2.66,UCH (University College),2.36
NW1 8AQ,51.543343,-0.153939,North,Royal Free Hospital,1.35,Royal Free Hospital,1.35,Whittington Hospital,2.74,UCH (University College),2.44
NW1 8AR,51.543779,-0.151931,North,Royal Free Hospital,1.4,Royal Free Hospital,1.4,Whittington Hospital,2.65,UCH (University College),2.41
NW1 8AS,51.544984,-0.153065,North,Royal Free Hospital,1.25,Royal Free Hospital,1.25,Whittington Hospital,2.55,UCH (University College),2.56
NW1 8AT,51.543343,-0.153939,North,Royal Free Hospital,1.35,Royal Free Hospital,1.35,Whittington Hospital,2.74,UCH (University College),2.44
NW1 8AU,51.544156,-0.151887,North,Royal Free Hospital,1.37,Royal Free Hospital,1.37,Whittington Hospital,2.61,UCH (University College),2.44
NW1 8AW,51.543343,-0.153939,North,Royal Free Hospital,1.35,Royal Free Hospital,1.35,Whittington Hospital,2.74,UCH (University College),2.44
NW1 8AX,51.543943,-0.152674,North,Royal Free Hospital,1.35,Royal Free Hospital,1.35,Whittington Hospital,2.65,UCH (University College),2.45
NW1 8AY,51.545402,-0.152254,North,Royal Free Hospital,1.26,Royal Free Hospital,1.26,Whittington Hospital,2.49,UCH (University College),2.58
NW1 8AZ,51.544842,-0.152638,North,Royal Free Hospital,1.28,Royal Free Hospital,1.28,Whittington Hospital,2.55,UCH (University College),2.53
NW1 8BA,51.544211,-0.152534,North,Royal Free Hospital,1.34,Royal Free Hospital,1.34,Whittington Hospital,2.62,UCH (University College),2.47
NW1 8BB,51.543685,-0.153265,North,Royal Free Hospital,1.35,Royal Free Hospital,1.35,Whittington Hospital,2.69,UCH (University College),2.44
NW1 8BD,51.543314,-0.155569,North,Royal Free Hospital,1.29,Royal Free Hospital,1.29,Whittington Hospital,2.79,UCH (University College),2.49
NW1 8BE,51.543282,-0.155026,North,Royal Free Hospital,1.32,Royal Free Hospital,1.32,Whittington Hospital,2.78,UCH (University College),2.47
NW1 8BF,51.542645,-0.146572,North,Royal Free Hospital,1.75,Royal Free Hospital,1.75,Whittington Hospital,2.69,UCH (University College),2.13
NW1 8BG,51.54296,-0.14846,North,Royal Free Hospital,1.63,Royal Free Hospital,1.63,Whittington Hospital,2.68,UCH (University College),2.22
NW1 8BH,51.543022,-0.151269,North,Royal Free Hospital,1.5,Royal Free Hospital,1.5,Whittington Hospital,2.72,UCH (University College),2.31
NW1 8BJ,51.543921,-0.151233,North,Royal Free Hospital,1.42,Royal Free Hospital,1.42,Whittington Hospital,2.62,UCH (University College),2.4
NW1 8BL,51.545348,-0.15168,North,Royal Free Hospital,1.29,Royal Free Hospital,1.29,Whittington Hospital,2.48,UCH (University College),2.55
NW1 8BN,51.545466,-0.150565,North,Royal Free Hospital,1.34,Royal Free Hospital,1.34,Whittington Hospital,2.44,UCH (University College),2.53
NW1 8BP,51.545111,-0.150896,North,Royal Free Hospital,1.35,Royal Free Hospital,1.35,Whittington Hospital,2.49,UCH (University College),2.51
NW1 8BQ,51.543022,-0.151269,North,Royal Free Hospital,1.5,Royal Free Hospital,1.5,Whittington Hospital,2.72,UCH (University College),2.31
NW1 8BR,51.544819,-0.151196,North,Royal Free Hospital,1.35,Royal Free Hospital,1.35,Whittington Hospital,2.53,UCH (University College),2.49
NW1 8BS,51.545092,-0.150248,North,Royal Free Hospital,1.38,Royal Free Hospital,1.38,Whittington Hospital,2.48,UCH (University College),2.48
NW1 8BT,51.542055,-0.146982,North,Royal Free Hospital,1.78,Royal Free Hospital,1.78,Whittington Hospital,2.76,UCH (University College),2.08
NW1 8BU,51.542055,-0.146982,North,Royal Free Hospital,1.78,Royal Free Hospital,1.78,Whittington Hospital,2.76,UCH (University College),2.08
NW1 8BW,51.545466,-0.150565,North,Royal Free Hospital,1.34,Royal Free Hospital,1.34,Whittington Hospital,2.44,UCH (University College),2.53
NW1 8BX,51.542325,-0.145875,North,Royal Free Hospital,1.81,Royal Free Hospital,1.81,Whittington Hospital,2.72,UCH (University College),2.08
NW1 8BY,51.542691,-0.146264,North,Royal Free Hospital,1.77,Royal Free Hospital,1.77,Whittington Hospital,2.68,UCH (University College),2.13
NW1 8BZ,51.542055,-0.146982,North,Royal Free Hospital,1.78,Royal Free Hospital,1.78,Whittington Hospital,2.76,UCH (University College),2.08
NW1 8DA,51.542849,-0.146589,North,Royal Free Hospital,1.74,Royal Free Hospital,1.74,Whittington Hospital,2.67,UCH (University College),2.16
NW1 8DB,51.543281,-0.146572,North,Royal Free Hospital,1.71,Royal Free Hospital,1.71,Whittington Hospital,2.62,UCH (University College),2.2
NW1 8DD,51.543396,-0.145918,North,Royal Free Hospital,1.73,Royal Free Hospital,1.73,Whittington Hospital,2.6,UCH (University College),2.2
NW1 8DE,51.544545,-0.145222,North,Royal Free Hospital,1.69,Royal Free Hospital,1.69,Whittington Hospital,2.46,UCH (University College),2.3
NW1 8DF,51.545804,-0.148633,North,Royal Free Hospital,1.42,Royal Free Hospital,1.42,Whittington Hospital,2.37,UCH (University College),2.51
NW1 8DG,51.54406,-0.146396,North,Royal Free Hospital,1.66,Royal Free Hospital,1.66,Whittington Hospital,2.53,UCH (University College),2.28
NW1 8DH,51.543455,-0.14681,North,Royal Free Hospital,1.68,Royal Free Hospital,1.68,Whittington Hospital,2.6,UCH (University College),2.22
NW1 8DJ,51.543587,-0.14718,North,Royal Free Hospital,1.65,Royal Free Hospital,1.65,Whittington Hospital,2.59,UCH (University College),2.25
NW1 8DL,51.542976,-0.148387,North,Royal Free Hospital,1.64,Royal Free Hospital,1.64,Whittington Hospital,2.67,UCH (University College),2.22
NW1 8DN,51.543203,-0.147916,North,Royal Free Hospital,1.64,Royal Free Hospital,1.64,Whittington Hospital,2.64,UCH (University College),2.23
NW1 8DP,51.544439,-0.147044,North,Royal Free Hospital,1.6,Royal Free Hospital,1.6,Whittington Hospital,2.5,UCH (University College),2.33
NW1 8DQ,51.545344,-0.148522,North,Royal Free Hospital,1.46,Royal Free Hospital,1.46,Whittington Hospital,2.42,UCH (University College),2.46
NW1 8DR,51.544925,-0.146898,North,Royal Free Hospital,1.58,Royal Free Hospital,1.58,Whittington Hospital,2.44,UCH (University College),2.38
NW1 8DS,51.545505,-0.147347,North,Royal Free Hospital,1.51,Royal Free Hospital,1.51,Whittington Hospital,2.38,UCH (University College),2.45
NW1 8DT,51.545206,-0.147748,North,Royal Free Hospital,1.51,Royal Free Hospital,1.51,Whittington Hospital,2.42,UCH (University College),2.43
NW1 8DU,51.543829,-0.148295,North,Royal Free Hospital,1.58,Royal Free Hospital,1.58,Whittington Hospital,2.58,UCH (University College),2.3
NW1 8DW,51.543818,-0.14756,North,Royal Free Hospital,1.62,Royal Free Hospital,1.62,Whittington Hospital,2.57,UCH (University College),2.28
NW1 8DX,51.543875,-0.14835,North,Royal Free Hospital,1.57,Royal Free Hospital,1.57,Whittington Hospital,2.58,UCH (University College),2.31
